name,label
00001.png,angry
00002.png,sad
00003.png,happy
00004.png,happy
00005.png,happy
00006.png,neutral
00007.png,sad
00008.png,sad
00009.png,happy
00010.png,happy
00011.png,sad
00012.png,happy
00013.png,happy
00014.png,neutral
00015.png,happy
00016.png,happy
00017.png,sad
00018.png,happy
00019.png,sad
00020.png,neutral
00021.png,happy
00022.png,sad
00023.png,neutral
00024.png,happy
00025.png,sad
00026.png,happy
00027.png,happy
00028.png,sad
00029.png,angry
00030.png,sad
00031.png,surprised
00032.png,happy
00033.png,neutral
00034.png,sad
00035.png,neutral
00036.png,happy
00037.png,surprised
00038.png,neutral
00039.png,surprised
00040.png,happy
00041.png,happy
00042.png,happy
00043.png,happy
00044.png,happy
00045.png,sad
00046.png,happy
00047.png,surprised
00048.png,surprised
00049.png,angry
00050.png,neutral
00051.png,neutral
00052.png,happy
00053.png,happy
00054.png,neutral
00055.png,angry
00056.png,happy
00057.png,neutral
00058.png,happy
00059.png,surprised
00060.png,happy
00061.png,neutral
00062.png,neutral
00063.png,surprised
00064.png,sad
00065.png,neutral
00066.png,happy
00067.png,sad
00068.png,sad
00069.png,surprised
00070.png,surprised
00071.png,neutral
00072.png,sad
00073.png,happy
00074.png,happy
00075.png,sad
00076.png,happy
00077.png,happy
00078.png,happy
00079.png,surprised
00080.png,happy
00081.png,sad
00082.png,sad
00083.png,sad
00084.png,sad
00085.png,angry
00086.png,neutral
00087.png,neutral
00088.png,happy
00089.png,happy
00090.png,neutral
00091.png,happy
00092.png,sad
00093.png,neutral
00094.png,happy
00095.png,happy
00096.png,surprised
00097.png,happy
00098.png,sad
00099.png,happy
00100.png,happy
00101.png,happy
00102.png,happy
00103.png,neutral
00104.png,happy
00105.png,sad
00106.png,surprised
00107.png,happy
00108.png,happy
00109.png,happy
00110.png,surprised
00111.png,happy
00112.png,neutral
00113.png,neutral
00114.png,sad
00115.png,neutral
00116.png,happy
00117.png,sad
00118.png,neutral
00119.png,neutral
00120.png,happy
00121.png,happy
00122.png,neutral
00123.png,surprised
00124.png,sad
00125.png,surprised
00126.png,neutral
00127.png,happy
00128.png,happy
00129.png,sad
00130.png,happy
00131.png,happy
00132.png,happy
00133.png,neutral
00134.png,angry
00135.png,happy
00136.png,happy
00137.png,happy
00138.png,happy
00139.png,happy
00140.png,neutral
00141.png,sad
00142.png,happy
00143.png,angry
00144.png,happy
00145.png,sad
00146.png,neutral
00147.png,happy
00148.png,happy
00149.png,happy
00150.png,happy
00151.png,happy
00152.png,surprised
00153.png,sad
00154.png,happy
00155.png,happy
00156.png,happy
00157.png,happy
00158.png,sad
00159.png,neutral
00160.png,neutral
00161.png,neutral
00162.png,happy
00163.png,sad
00164.png,happy
00165.png,happy
00166.png,sad
00167.png,happy
00168.png,surprised
00169.png,happy
00170.png,neutral
00171.png,angry
00172.png,happy
00173.png,sad
00174.png,happy
00175.png,neutral
00176.png,sad
00177.png,happy
00178.png,neutral
00179.png,neutral
00180.png,neutral
00181.png,happy
00182.png,neutral
00183.png,sad
00184.png,surprised
00185.png,sad
00186.png,happy
00187.png,surprised
00188.png,neutral
00189.png,sad
00190.png,surprised
00191.png,neutral
00192.png,neutral
00193.png,neutral
00194.png,happy
00195.png,sad
00196.png,angry
00197.png,happy
00198.png,neutral
00199.png,sad
00200.png,sad
00201.png,neutral
00202.png,happy
00203.png,sad
00204.png,happy
00205.png,surprised
00206.png,happy
00207.png,happy
00208.png,sad
00209.png,happy
00210.png,happy
00211.png,happy
00212.png,surprised
00213.png,happy
00214.png,angry
00215.png,neutral
00216.png,sad
00217.png,happy
00218.png,sad
00219.png,happy
00220.png,neutral
00221.png,neutral
00222.png,happy
00223.png,angry
00224.png,angry
00225.png,surprised
00226.png,neutral
00227.png,neutral
00228.png,sad
00229.png,neutral
00230.png,sad
00231.png,happy
00232.png,sad
00233.png,happy
00234.png,happy
00235.png,happy
00236.png,sad
00237.png,neutral
00238.png,happy
00239.png,sad
00240.png,sad
00241.png,happy
00242.png,happy
00243.png,neutral
00244.png,surprised
00245.png,happy
00246.png,happy
00247.png,sad
00248.png,happy
00249.png,happy
00250.png,surprised
00251.png,happy
00252.png,angry
00253.png,sad
00254.png,neutral
00255.png,surprised
00256.png,sad
00257.png,neutral
00258.png,happy
00259.png,happy
00260.png,neutral
00261.png,angry
00262.png,angry
00263.png,happy
00264.png,sad
00265.png,neutral
00266.png,happy
00267.png,neutral
00268.png,angry
00269.png,angry
00270.png,sad
00271.png,surprised
00272.png,happy
00273.png,neutral
00274.png,sad
00275.png,neutral
00276.png,happy
00277.png,surprised
00278.png,neutral
00279.png,sad
00280.png,happy
00281.png,sad
00282.png,neutral
00283.png,happy
00284.png,neutral
00285.png,happy
00286.png,happy
00287.png,sad
00288.png,neutral
00289.png,surprised
00290.png,sad
00291.png,happy
00292.png,angry
00293.png,happy
00294.png,neutral
00295.png,happy
00296.png,happy
00297.png,happy
00298.png,neutral
00299.png,neutral
00300.png,sad
00301.png,happy
00302.png,neutral
00303.png,happy
00304.png,happy
00305.png,happy
00306.png,happy
00307.png,neutral
00308.png,neutral
00309.png,happy
00310.png,neutral
00311.png,surprised
00312.png,sad
00313.png,happy
00314.png,happy
00315.png,surprised
00316.png,neutral
00317.png,happy
00318.png,neutral
00319.png,neutral
00320.png,happy
00321.png,neutral
00322.png,surprised
00323.png,happy
00324.png,surprised
00325.png,neutral
00326.png,happy
00327.png,happy
00328.png,happy
00329.png,neutral
00330.png,happy
00331.png,sad
00332.png,happy
00333.png,happy
00334.png,happy
00335.png,happy
00336.png,neutral
00337.png,happy
00338.png,sad
00339.png,surprised
00340.png,happy
00341.png,neutral
00342.png,surprised
00343.png,happy
00344.png,sad
00345.png,neutral
00346.png,neutral
00347.png,neutral
00348.png,sad
00349.png,sad
00350.png,sad
00351.png,happy
00352.png,sad
00353.png,happy
00354.png,happy
00355.png,happy
00356.png,happy
00357.png,sad
00358.png,happy
00359.png,happy
00360.png,happy
00361.png,angry
00362.png,sad
00363.png,happy
00364.png,happy
00365.png,happy
00366.png,neutral
00367.png,happy
00368.png,happy
00369.png,happy
00370.png,neutral
00371.png,neutral
00372.png,angry
00373.png,sad
00374.png,happy
00375.png,sad
00376.png,sad
00377.png,sad
00378.png,happy
00379.png,happy
00380.png,happy
00381.png,surprised
00382.png,happy
00383.png,neutral
00384.png,sad
00385.png,happy
00386.png,surprised
00387.png,sad
00388.png,surprised
00389.png,happy
00390.png,happy
00391.png,happy
00392.png,neutral
00393.png,happy
00394.png,sad
00395.png,happy
00396.png,surprised
00397.png,happy
00398.png,sad
00399.png,neutral
00400.png,sad
00401.png,surprised
00402.png,surprised
00403.png,happy
00404.png,surprised
00405.png,neutral
00406.png,surprised
00407.png,neutral
00408.png,happy
00409.png,neutral
00410.png,happy
00411.png,surprised
00412.png,sad
00413.png,happy
00414.png,happy
00415.png,neutral
00416.png,happy
00417.png,happy
00418.png,sad
00419.png,neutral
00420.png,neutral
00421.png,happy
00422.png,neutral
00423.png,neutral
00424.png,happy
00425.png,sad
00426.png,happy
00427.png,neutral
00428.png,neutral
00429.png,sad
00430.png,neutral
00431.png,happy
00432.png,surprised
00433.png,surprised
00434.png,neutral
00435.png,neutral
00436.png,happy
00437.png,happy
00438.png,surprised
00439.png,surprised
00440.png,surprised
00441.png,sad
00442.png,happy
00443.png,surprised
00444.png,sad
00445.png,neutral
00446.png,sad
00447.png,neutral
00448.png,neutral
00449.png,sad
00450.png,surprised
00451.png,sad
00452.png,neutral
00453.png,happy
00454.png,sad
00455.png,sad
00456.png,neutral
00457.png,surprised
00458.png,happy
00459.png,sad
00460.png,neutral
00461.png,happy
00462.png,neutral
00463.png,happy
00464.png,angry
00465.png,happy
00466.png,neutral
00467.png,sad
00468.png,happy
00469.png,happy
00470.png,neutral
00471.png,happy
00472.png,sad
00473.png,angry
00474.png,happy
00475.png,neutral
00476.png,happy
00477.png,sad
00478.png,neutral
00479.png,happy
00480.png,happy
00481.png,happy
00482.png,happy
00483.png,happy
00484.png,happy
00485.png,happy
00486.png,surprised
00487.png,happy
00488.png,sad
00489.png,neutral
00490.png,surprised
00491.png,happy
00492.png,happy
00493.png,sad
00494.png,sad
00495.png,happy
00496.png,neutral
00497.png,happy
00498.png,happy
00499.png,neutral
00500.png,happy
00501.png,neutral
00502.png,happy
00503.png,happy
00504.png,happy
00505.png,neutral
00506.png,happy
00507.png,neutral
00508.png,sad
00509.png,sad
00510.png,happy
00511.png,happy
00512.png,happy
00513.png,happy
00514.png,sad
00515.png,surprised
00516.png,neutral
00517.png,happy
00518.png,neutral
00519.png,happy
00520.png,sad
00521.png,happy
00522.png,happy
00523.png,angry
00524.png,happy
00525.png,happy
00526.png,happy
00527.png,happy
00528.png,sad
00529.png,sad
00530.png,surprised
00531.png,neutral
00532.png,neutral
00533.png,angry
00534.png,happy
00535.png,sad
00536.png,neutral
00537.png,happy
00538.png,surprised
00539.png,happy
00540.png,surprised
00541.png,happy
00542.png,neutral
00543.png,happy
00544.png,happy
00545.png,neutral
00546.png,sad
00547.png,happy
00548.png,sad
00549.png,sad
00550.png,neutral
00551.png,happy
00552.png,neutral
00553.png,neutral
00554.png,neutral
00555.png,happy
00556.png,neutral
00557.png,neutral
00558.png,sad
00559.png,neutral
00560.png,happy
00561.png,sad
00562.png,sad
00563.png,sad
00564.png,sad
00565.png,surprised
00566.png,happy
00567.png,happy
00568.png,sad
00569.png,sad
00570.png,happy
00571.png,sad
00572.png,sad
00573.png,happy
00574.png,neutral
00575.png,happy
00576.png,happy
00577.png,happy
00578.png,happy
00579.png,happy
00580.png,happy
00581.png,happy
00582.png,happy
00583.png,neutral
00584.png,angry
00585.png,happy
00586.png,happy
00587.png,happy
00588.png,neutral
00589.png,happy
00590.png,happy
00591.png,happy
00592.png,happy
00593.png,happy
00594.png,neutral
00595.png,happy
00596.png,happy
00597.png,surprised
00598.png,happy
00599.png,happy
00600.png,happy
00601.png,happy
00602.png,happy
00603.png,neutral
00604.png,surprised
00605.png,surprised
00606.png,happy
00607.png,happy
00608.png,happy
00609.png,happy
00610.png,happy
00611.png,neutral
00612.png,happy
00613.png,neutral
00614.png,sad
00615.png,happy
00616.png,neutral
00617.png,happy
00618.png,happy
00619.png,happy
00620.png,happy
00621.png,happy
00622.png,happy
00623.png,neutral
00624.png,happy
00625.png,surprised
00626.png,surprised
00627.png,sad
00628.png,neutral
00629.png,happy
00630.png,surprised
00631.png,happy
00632.png,neutral
00633.png,surprised
00634.png,neutral
00635.png,happy
00636.png,sad
00637.png,neutral
00638.png,happy
00639.png,happy
00640.png,neutral
00641.png,happy
00642.png,happy
00643.png,surprised
00644.png,happy
00645.png,neutral
00646.png,happy
00647.png,happy
00648.png,sad
00649.png,happy
00650.png,neutral
00651.png,surprised
00652.png,happy
00653.png,neutral
00654.png,happy
00655.png,sad
00656.png,happy
00657.png,happy
00658.png,neutral
00659.png,happy
00660.png,neutral
00661.png,surprised
00662.png,happy
00663.png,sad
00664.png,happy
00665.png,sad
00666.png,happy
00667.png,surprised
00668.png,surprised
00669.png,happy
00670.png,surprised
00671.png,happy
00672.png,happy
00673.png,happy
00674.png,happy
00675.png,happy
00676.png,sad
00677.png,happy
00678.png,happy
00679.png,happy
00680.png,happy
00681.png,happy
00682.png,neutral
00683.png,happy
00684.png,sad
00685.png,happy
00686.png,neutral
00687.png,happy
00688.png,happy
00689.png,happy
00690.png,happy
00691.png,neutral
00692.png,happy
00693.png,happy
00694.png,happy
00695.png,happy
00696.png,neutral
00697.png,neutral
00698.png,happy
00699.png,happy
00700.png,happy
00701.png,angry
00702.png,happy
00703.png,happy
00704.png,sad
00705.png,happy
