name,label
00001.png,fearful
00002.png,sad
00003.png,angry
00004.png,happy
00005.png,surprised
00006.png,surprised
00007.png,sad
00008.png,neutral
00009.png,neutral
00010.png,sad
00011.png,neutral
00012.png,angry
00013.png,happy
00014.png,sad
00015.png,surprised
00016.png,happy
00017.png,sad
00018.png,happy
00019.png,angry
00020.png,fearful
00021.png,happy
00022.png,angry
00023.png,neutral
00024.png,happy
00025.png,fearful
00026.png,neutral
00027.png,neutral
00028.png,sad
00029.png,angry
00030.png,fearful
00031.png,sad
00032.png,sad
00033.png,sad
00034.png,sad
00035.png,fearful
00036.png,angry
00037.png,surprised
00038.png,sad
00039.png,surprised
00040.png,neutral
00041.png,neutral
00042.png,happy
00043.png,happy
00044.png,happy
00045.png,fearful
00046.png,angry
00047.png,neutral
00048.png,neutral
00049.png,angry
00050.png,surprised
00051.png,neutral
00052.png,angry
00053.png,neutral
00054.png,angry
00055.png,happy
00056.png,happy
00057.png,surprised
00058.png,angry
00059.png,surprised
00060.png,angry
00061.png,angry
00062.png,angry
00063.png,fearful
00064.png,angry
00065.png,neutral
00066.png,happy
00067.png,sad
00068.png,fearful
00069.png,surprised
00070.png,neutral
00071.png,happy
00072.png,fearful
00073.png,happy
00074.png,fearful
00075.png,neutral
00076.png,neutral
00077.png,neutral
00078.png,happy
00079.png,surprised
00080.png,fearful
00081.png,sad
00082.png,fearful
00083.png,angry
00084.png,neutral
00085.png,angry
00086.png,surprised
00087.png,neutral
00088.png,sad
00089.png,happy
00090.png,sad
00091.png,happy
00092.png,neutral
00093.png,neutral
00094.png,happy
00095.png,neutral
00096.png,surprised
00097.png,sad
00098.png,sad
00099.png,happy
00100.png,happy
00101.png,surprised
00102.png,happy
00103.png,sad
00104.png,happy
00105.png,angry
00106.png,surprised
00107.png,happy
00108.png,angry
00109.png,angry
00110.png,neutral
00111.png,surprised
00112.png,neutral
00113.png,neutral
00114.png,sad
00115.png,neutral
00116.png,happy
00117.png,angry
00118.png,sad
00119.png,neutral
00120.png,sad
